death_time,dead,survivor,d_pair,d_pair_history,shrinking,size_compatible,verdict
151.005,1,11,0.5,9.00;6.50;4.50;6.00,False,False,unresolved
115.005,6,8,4.5,10.00;10.00;8.50;6.00,True,False,unresolved
932.0025,8,75,0.5,13.00;11.50;9.00;8.00,True,False,unresolved
136.005,9,8,4.5,6.50;6.50;6.00;4.50;4.50;4.50,True,False,unresolved
300.0,11,18,2.5,7.00;7.00;7.00;4.50,True,False,unresolved
273.0,16,8,4.5,8.50;7.50;7.50;7.50;6.00;5.50,True,False,unresolved
275.0025,17,11,1.0,9.00;9.00;8.50;7.00,True,False,unresolved
468.0,18,37,2.5,13.50;12.00;10.50;7.50;5.50;3.50,True,False,unresolved
311.0025,22,8,6.0,8.00;10.00;9.00;6.50,False,False,unresolved
469.005,24,37,5.5,5.00;5.00;4.50;4.50;6.00;6.00,False,False,unresolved
375.0,26,18,3.5,7.50;7.00;6.50;6.50;6.50;5.00,True,False,unresolved
388.005,31,18,5.0,5.50;6.00;5.50;5.50;5.00;5.00,True,False,unresolved
386.0025,32,18,5.5,5.50;7.50;7.00;7.50;6.50,False,False,unresolved
403.005,33,8,5.5,10.50;10.50;9.00;8.50;7.00;6.00,True,False,unresolved
485.0025,35,8,6.0,9.00;8.00;9.50;10.50;10.50;6.50,False,False,unresolved
449.0025,36,24,3.0,8.50;7.50;7.50;6.50;5.50;4.50,True,False,unresolved
549.0,37,45,4.0,8.00;7.50;7.00;5.00;5.00;4.50,True,False,unresolved
492.0,39,38,2.0,11.50;11.00;10.50;9.50;6.00,True,True,true_merge
525.0,40,37,3.0,9.50;8.00;6.00;4.50;4.00;4.00,True,False,unresolved
532.005,44,37,3.5,5.00;5.50;6.50;7.50;6.50;6.00,False,False,unresolved
680.0025,45,38,3.5,8.50;9.50;11.00;11.50;8.50;5.50,False,True,unresolved
686.0025,53,50,5.5,8.00;9.00;7.50;8.00;8.00,False,False,unresolved
695.0025,54,38,2.5,6.50;5.00;5.00;5.50;5.50;3.50,True,True,true_merge
733.005,59,60,2.0,7.50;7.00;5.50;6.00;6.00,True,False,unresolved
859.005,67,38,6.0,8.50;9.00;10.50;9.00;8.50;8.00,False,True,unresolved
884.0025,72,69,5.0,8.00;7.00;5.50;5.00;5.50,True,True,true_merge
916.005,73,38,5.0,7.00;8.00;8.50;7.00;8.00;6.50,False,True,unresolved
930.0,74,38,0.0,10.00;9.50;9.50;9.00;7.50,True,True,true_merge
943.005,76,38,3.5,10.50;6.50;6.00;6.00;5.50;5.00,True,True,true_merge
950.0025,77,75,5.5,9.00;10.00;10.00;8.00;7.00;6.50,False,True,unresolved
967.005,78,79,2.0,8.00;7.50;6.50;6.50;5.50;4.50,True,True,true_merge
987.0,81,82,3.5,6.50;5.00,False,True,unresolved
